target,repo_url,segment,public_channel,personalized_hook,ask,status,next_action
chenhg5/cc-connect,https://github.com/chenhg5/cc-connect,Claude Code ecosystem,DM or discussion,"Local-agent workflow tool with integrations and Go code","Ask whether proof picks integration center or obvious entrypoints",queued,Find public contact
iamzhihuix/skills-manage,https://github.com/iamzhihuix/skills-manage,agent skills,DM or discussion,"Skill manager users are fit for safe setup preview","Ask for init dry-run and doctor-agent friction",queued,Find public contact
rohitg00/skillkit,https://github.com/rohitg00/skillkit,agent skills,DM or discussion,"Portable skills across Claude Code/Cursor/Codex","Ask for receipt or wrong-abstraction critique",queued,Find public contact
rohitg00/awesome-claude-code-toolkit,https://github.com/rohitg00/awesome-claude-code-toolkit,curator,curator submission,"Claude Code toolkit curator can judge whether proof is enough for listing","Ask for correction-first review, not listing",queued,Check contribution rules
ccplugins/awesome-claude-code-plugins,https://github.com/ccplugins/awesome-claude-code-plugins,curator,curator submission,"Directory maintainers need falsifiable proof before adding another MCP tool","Ask for directory submission guidance after one proof run",queued,Check contribution rules
tech-leads-club/agent-skills,https://github.com/tech-leads-club/agent-skills,curator,registry submission,"Agent skill registry cares about validated safe extensions","Ask whether no-write proof is enough validation",queued,Check contribution rules
JackyST0/awesome-agent-skills,https://github.com/JackyST0/awesome-agent-skills,curator,open PR,"Sverklo PR already opened; proof framing may help review","Follow up only with proof/correction language",queued,Watch PR #51
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,curator,open PR,"PR blocked by Glama claim/quality score","Resolve Glama claim/score, then update PR",blocked,Operator must finish Glama OAuth claim if needed
TensorBlock/awesome-mcp-servers,https://github.com/TensorBlock/awesome-mcp-servers,curator,merged PR,"Merged listing can become proof of category fit","Monitor generated docs and downstream exposure",monitoring,Check listing page
MobinX/awesome-mcp-list,https://github.com/MobinX/awesome-mcp-list,curator,open PR,"Open PR from prior wave","Respond to maintainer feedback",queued,Watch PR #299
jqueryscript/awesome-claude-code,https://github.com/jqueryscript/awesome-claude-code,curator,open PR,"Open PR from prior wave","Respond to maintainer feedback",queued,Watch PR #358
YuzeHao2023/Awesome-MCP-Servers,https://github.com/YuzeHao2023/Awesome-MCP-Servers,curator,open PR,"Open PR from prior wave","Respond to maintainer feedback",queued,Watch PR #284
wong2/awesome-mcp-servers,https://github.com/wong2/awesome-mcp-servers,curator,branch pushed,"PR creation was blocked by permissions","Open PR manually if UI allows",manual,Manual PR creation
appcypher/awesome-mcp-servers,https://github.com/appcypher/awesome-mcp-servers,curator,branch pushed,"PR creation was blocked by permissions","Open PR manually if UI allows",manual,Manual PR creation
hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,curator,manual issue form,"Templates forbid programmatic recommendation","Submit manually only if operator approves",manual,Manual UI issue form
cline/cline,https://github.com/cline/cline,AI coding agent,discussion or community,"Cline users hit context and tool-selection limits on large repos","Ask for one proof-run correction from a real extension repo",queued,Find accepted community path
RooCodeInc/Roo-Code,https://github.com/RooCodeInc/Roo-Code,AI coding agent,discussion or community,"Roo Code users are MCP-heavy and agent-workflow focused","Ask for setup-friction or proof selection feedback",queued,Find accepted community path
continuedev/continue,https://github.com/continuedev/continue,AI coding agent,discussion or community,"Continue users care about codebase context and local indexing","Ask where Sverklo duplicates or complements Continue context",queued,Find accepted community path
All-Hands-AI/OpenHands,https://github.com/All-Hands-AI/OpenHands,AI coding agent,discussion or community,"OpenHands users care about agent context before edits","Ask for grep-better or proof-run correction",queued,Find accepted community path
aider-ai/aider,https://github.com/Aider-AI/aider,AI coding agent,discussion or community,"Aider has strong repo-map ideas; high-quality critique source","Ask whether proof receipt is redundant with repo-map",queued,Find accepted community path
sourcegraph/cody,https://github.com/sourcegraph/cody,code intelligence,discussion or community,"Cody is established code intelligence; useful comparator","Ask for distinct-vs-duplicate correction",queued,Find accepted community path
getcursor/cursor,https://github.com/getcursor/cursor,AI coding IDE,forum/community,"Cursor users can compare @codebase with Sverklo proof","Ask for one Cursor workflow receipt or friction point",queued,Use forum, not repo issue
anthropics/claude-code,https://github.com/anthropics/claude-code,AI coding agent,community,"Claude Code users are exact ICP","Ask in community only, not unsolicited issue",queued,Find accepted community path
openai/codex,https://github.com/openai/codex,AI coding agent,community,"Codex CLI users already use AGENTS.md and local repo context","Ask for AGENTS.md + proof workflow feedback",queued,Find accepted community path
zed-industries/zed,https://github.com/zed-industries/zed,AI editor,discussion/community,"Zed users are local-first and agent/editor workflow aware","Ask whether local repo-memory MCP fits Zed workflows",queued,Find accepted community path
biomejs/biome,https://github.com/biomejs/biome,OSS maintainer,DM/discussion only,"Large Rust/JS repo with meaningful symbol/caller graph","Ask for proof-run correction only if a maintainer talks about agents",queued,Do not open issue
vitejs/vite,https://github.com/vitejs/vite,OSS maintainer,DM/discussion only,"Large TS repo where impact/callers matter","Ask for proof-run correction only if relevant thread exists",queued,Do not open issue
fastify/fastify,https://github.com/fastify/fastify,OSS maintainer,DM/discussion only,"Plugin-heavy Node repo can test central files and callers","Ask for proof-run correction only via accepted channel",queued,Do not open issue
nestjs/nest,https://github.com/nestjs/nest,OSS maintainer,DM/discussion only,"Large TypeScript framework with impact-analysis value","Ask for proof-run correction only via accepted channel",queued,Do not open issue
prisma/prisma,https://github.com/prisma/prisma,OSS maintainer,DM/discussion only,"Large TS/Rust repo with complex dependency surface","Ask for proof-run correction only via accepted channel",queued,Do not open issue
TanStack/query,https://github.com/TanStack/query,OSS maintainer,DM/discussion only,"Complex TS library where callers/tests matter","Ask for proof-run correction only via accepted channel",queued,Do not open issue
effect-ts/effect,https://github.com/Effect-TS/effect,OSS maintainer,DM/discussion only,"Large TS codebase where semantic symbols can be noisy","Ask for grep-better and noisy-symbol correction",queued,Do not open issue
drizzle-team/drizzle-orm,https://github.com/drizzle-team/drizzle-orm,OSS maintainer,DM/discussion only,"Large TS ORM, good stress test for graph centrality","Ask for one wrong-center correction",queued,Do not open issue
payloadcms/payload,https://github.com/payloadcms/payload,OSS maintainer,DM/discussion only,"Large TS app framework, agent users likely","Ask for setup-friction or proof-selection correction",queued,Do not open issue
remix-run/remix,https://github.com/remix-run/remix,OSS maintainer,DM/discussion only,"Complex framework repo with tests/callers","Ask for proof-run correction only via accepted channel",queued,Do not open issue
webpack/webpack,https://github.com/webpack/webpack,OSS maintainer,DM/discussion only,"Large JS repo where impact analysis is meaningful","Ask for grep-better or wrong-center correction",queued,Do not open issue
eslint/eslint,https://github.com/eslint/eslint,OSS maintainer,DM/discussion only,"Large JS repo with strong maintainer standards","Ask for proof-run correction only via accepted channel",queued,Do not open issue
prettier/prettier,https://github.com/prettier/prettier,OSS maintainer,DM/discussion only,"Large JS repo with clear internal architecture","Ask for proof-run correction only via accepted channel",queued,Do not open issue
